datetime,open,high,low,close,volume,upper_band,middle_band,lower_band,ema,macd,macd_signal,macd_hist,rsi,sma,slow_k,slow_d
2024-04-12,174.25999,178.36000,174.21001,176.55000,101593300,177.60948,171.72500,165.84052,171.78697,-1.24221,-2.16775,0.92554,56.81615,170.48667,83.91113,61.77858
2024-04-11,168.34000,175.46001,168.16000,175.03999,91070300,177.04023,171.54750,166.05477,170.59621,-1.84236,-2.39913,0.55677,54.35029,169.76222,94.96990,38.40591
2024-04-10,168.80000,169.09000,167.11000,167.78000,49709300,176.60677,171.35200,166.09723,169.48527,-2.42782,-2.53833,0.11050,38.73110,169.36667,6.45470,7.45170
2024-04-09,168.70000,170.08000,168.35001,169.67000,42451200,176.67119,171.62450,166.57781,169.91159,-2.40058,-2.56595,0.16538,42.22343,169.98111,13.79312,9.61050
2024-04-08,169.03000,169.20000,168.24001,168.45000,37425500,176.76484,171.77850,166.79216,169.97198,-2.52332,-2.60730,0.08398,38.92239,169.98556,2.10729,6.89661
2024-04-05,169.59000,170.39000,168.95000,169.58000,42055200,176.66907,171.89250,167.11593,170.35248,-2.51905,-2.62829,0.10924,40.93388,170.25222,12.93109,10.72802
2024-04-04,170.28999,171.92000,168.82001,168.82001,53704400,176.70252,171.86350,167.02448,170.54560,-2.59203,-2.65560,0.06357,38.96395,170.55222,5.65145,8.36529
2024-04-03,168.78999,170.67999,168.58000,169.64999,47691700,176.68141,171.87850,167.07559,170.97700,-2.57009,-2.67149,0.10140,40.32788,170.83555,13.60151,8.57837
2024-04-02,169.08000,169.34000,168.23000,168.84000,49329500,176.66550,171.90200,167.13849,171.30875,-2.58921,-2.69685,0.10763,38.37296,171.83778,5.84292,11.38365
2024-04-01,171.19000,171.25000,169.48000,170.03000,46240500,176.95519,172.21500,167.47481,171.92593,-2.49348,-2.72375,0.23027,40.16819,172.64222,6.29069,24.40688
2024-03-28,171.75000,172.23000,170.50999,171.48000,65672700,178.32436,172.69650,167.06864,172.39992,-2.45619,-2.78132,0.32513,42.41326,173.05222,22.01734,26.30475
2024-03-27,170.41000,173.60001,170.11000,173.31000,60273300,179.75464,173.16000,166.56536,172.62990,-2.52051,-2.86260,0.34210,45.38609,173.17889,44.91261,26.69322
2024-03-26,170.00000,171.42000,169.58000,169.71001,57388400,181.08032,173.56550,166.05068,172.45987,-2.75226,-2.94813,0.19586,37.36675,173.14444,11.98430,24.13229
2024-03-25,170.57001,171.94000,169.45000,170.85001,54288300,182.47366,174.21150,165.94933,173.14734,-2.64149,-2.99709,0.35560,39.05294,173.30222,23.18273,29.56775
2024-03-22,171.75999,173.05000,170.06000,172.28000,71106600,183.36394,174.72700,166.09005,173.72167,-2.57775,-3.08600,0.50824,41.21950,173.56667,37.22982,50.02400
2024-03-21,177.05000,177.49001,170.84000,171.37000,106181300,184.43122,175.23900,166.04678,174.08209,-2.60451,-3.21306,0.60855,39.22722,173.61889,28.29068,55.58279
2024-03-20,175.72000,178.67000,175.09000,178.67000,53423100,185.71183,175.88900,166.06617,174.76011,-2.50812,-3.36519,0.85708,52.47584,173.54778,84.55148,58.06872
2024-03-19,174.34000,176.61000,173.03000,176.08000,55215200,186.22431,176.07150,165.91869,173.78264,-3.09188,-3.57946,0.48758,46.52582,172.47333,53.90622,38.80689
2024-03-18,175.57001,177.71001,173.52000,173.72000,75604200,186.77642,176.34550,165.91458,173.20830,-3.52829,-3.70136,0.17307,40.18994,171.70000,35.74846,30.58107
2024-03-15,171.17000,172.62000,170.28999,172.62000,121664700,187.44283,176.77500,166.10717,173.08038,-3.79370,-3.74463,-0.04907,36.95700,171.30000,26.76599,23.98214
2024-03-14,172.91000,174.31000,172.05000,173.00000,72913500,188.25148,177.33700,166.42252,173.19547,-3.96527,-3.73236,-0.23291,37.60912,171.57555,29.22875,24.60696
2024-03-13,172.77000,173.19000,170.75999,171.13000,52488700,189.00324,177.89450,166.78576,173.24434,-4.16528,-3.67413,-0.49115,32.13736,172.31556,15.95167,23.44409
2024-03-12,173.14999,174.03000,171.00999,173.23000,59825400,189.65928,178.59000,167.52071,173.77292,-4.16957,-3.55134,-0.61823,35.37226,173.38444,28.64045,22.63844
2024-03-11,172.94000,174.38000,172.05000,172.75000,60139500,190.66581,179.28600,167.90618,173.90865,-4.32822,-3.39679,-0.93143,33.96140,174.29444,25.74017,14.11880
2024-03-08,169.00000,173.70000,168.94000,170.73000,76114600,191.78109,180.09100,168.40091,174.19832,-4.41889,-3.16393,-1.25496,27.80229,175.39222,13.53469,6.43525
2024-03-07,169.14999,170.73000,168.49001,169.00000,71765100,192.35390,180.97050,169.58710,175.06540,-4.26466,-2.85019,-1.41447,22.01839,176.55111,3.08154,2.97124
2024-03-06,171.06000,171.24001,168.67999,169.12000,68587700,192.52678,181.99100,171.45522,176.58175,-3.82964,-2.49657,-1.33307,22.13259,178.05333,2.68950,5.45992
2024-03-05,170.75999,172.03999,169.62000,170.12000,95132400,192.19141,183.00000,173.80859,178.44719,-3.23091,-2.16330,-1.06760,23.05804,179.74778,3.14268,11.29505
2024-03-04,176.14999,176.89999,173.78999,175.10001,81510100,191.13059,183.87800,176.62541,180.52899,-2.52153,-1.89640,-0.62513,28.58527,181.10334,10.54760,14.13531
2024-03-01,179.55000,180.53000,177.38000,179.66000,73488000,190.48275,184.41550,178.34825,181.88623,-2.08649,-1.74012,-0.34636,35.90277,181.82111,20.19486,16.56384
2024-02-29,181.27000,182.57001,179.53000,180.75000,136682600,190.51704,184.77550,179.03396,182.44279,-1.96515,-1.65353,-0.31162,38.06563,182.11556,11.66348,18.73853
2024-02-28,182.50999,183.12000,180.13000,181.42000,48953900,190.40037,184.95800,179.51563,182.86598,-1.89268,-1.57562,-0.31706,39.42111,182.46111,17.83317,18.34996
2024-02-27,181.10001,183.92000,179.56000,182.63000,54318900,190.63478,185.28900,179.94322,183.22748,-1.84088,-1.49636,-0.34452,41.92469,182.76444,26.71894,20.00739
2024-02-26,182.24001,182.75999,180.64999,181.16000,40867400,191.62894,185.74400,179.85906,183.37685,-1.87117,-1.41023,-0.46094,37.44288,183.03222,10.49777,25.56434
2024-02-23,185.00999,185.03999,182.23000,182.52000,45119700,192.47756,186.30700,180.13644,183.93106,-1.73296,-1.29500,-0.43796,40.10152,183.69778,22.80546,30.73741
2024-02-22,183.48000,184.96001,182.46001,184.37000,52292200,193.68771,186.88950,180.09129,184.28383,-1.66981,-1.18550,-0.48430,44.05251,184.40111,43.38978,29.66101
2024-02-21,181.94000,182.89000,180.66000,182.32001,41529700,194.84609,187.39600,179.94591,184.26228,-1.75328,-1.06443,-0.68885,37.74081,184.84000,26.01700,23.32523
2024-02-20,181.78999,182.42999,180.00000,181.56000,53665600,195.83740,188.03900,180.24060,184.74785,-1.62559,-0.89222,-0.73337,35.22513,185.62778,19.57625,26.51905
